ID,AgeBracket,SexAtBirth,CurrentSex,Ethnicity,HighestEducation,HRQOL1,HRQOL2,PWB1,PWB2,PWB3,PWB4,PWB5,PWB6,PWB7,PWB8,PWB9,PWB10,PWB11,PWB12,PWB13,PWB14,PWB15,PWB16,PWB17,PWB18,WEMWBS1,WEMWBS2,WEMWBS3,WEMWBS4,WEMWBS5,WEMWBS6,WEMWBS7,WEMWBS8,WEMWBS9,WEMWBS10,WEMWBS11,WEMWBS12,WEMWBS13,WEMWBS14,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,SC0,SC1,SC2,SC3
256,18-33,Female,Female,"Indian, Indian Scottish or Indian British","Postgraduate Qualification, Masters",Good,0-5,Somewhat agree,Somewhat agree,Strongly agree,A little disagree,Somewhat disagree,Somewhat disagree,A little disagree,A little agree,Somewhat agree,Somewhat disagree,A little agree,Somewhat agree,Somewhat agree,Somewhat disagree,A little disagree,Somewhat disagree,A little agree,Somewhat agree,Often,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Often,Often,Some of the time,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly agree,Strongly agree,3,103,49,76
257,18-33,Female,Female,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Very Good,05-Oct,Strongly agree,Somewhat agree,Neither agree nor disagree,A little disagree,Somewhat disagree,Somewhat disagree,A little disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Often,Often,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Often,Often,All of the time,Some of the time,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,114,51,80
258,18-33,Male,Male,Other white ethnic group,"Postgraduate Qualification, Masters",Excellent,0-5,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,A little agree,Strongly agree,Often,Often,Rarely,Some of the time,Rarely,Often,Often,Often,Some of the time,All of the time,Some of the time,Rarely,Often,Often,Neutral,Mildly agree,Very strongly agree,Strongly agree,Strongly agree,Neutral,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,1,102,48,64
259,18-33,Female,Female,Scottish,"Postgraduate Qualification, Masters",Good,05-Oct,A little agree,Somewhat agree,Strongly agree,Somewhat agree,A little disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,A little agree,A little disagree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Rarely,Some of the time,None of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Often,Often,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Mildly agree,Mildly agree,Very strongly agree,Neutral,Mildly disagree,Mildly agree,Mildly disagree,Very strongly agree,Mildly agree,Mildly disagree,3,94,40,61
260,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,15-20,Somewhat agree,Strongly agree,Neither agree nor disagree,A little disagree,Somewhat disagree,A little disagree,A little disagree,A little agree,A little agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,A little agree,Neither agree nor disagree,Some of the time,Often,Some of the time,Often,Often,Often,Often,Some of the time,Often,Often,Often,Often,Often,Often,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,3,96,53,63
261,34-48,Female,Female,Scottish,"Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,Somewhat agree,A little agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,A little disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,All of the time,All of the time,Some of the time,All of the time,Some of the time,Often,Often,Often,Often,Often,Often,All of the time,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,97,58,84
262,34-48,Female,Female,Other white ethnic group,Undergraduate Degree,Very Good,None,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,Rarely,Often,Often,Some of the time,Often,Some of the time,Often,All of the time,Often,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,2,111,52,84
263,18-33,Male,Male,Other (not listed),Undergraduate Degree,Fair,None,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Some of the time,Some of the time,Rarely,All of the time,Rarely,Often,Often,Rarely,Rarely,None of the time,Some of the time,Rarely,None of the time,Some of the time,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Neutral,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Very strongly agree,Mildly agree,4,102,37,69
264,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,0-5,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,A little disagree,Strongly disagree,Somewhat agree,Somewhat agree,All of the time,Often,Some of the time,Some of the time,Some of the time,All of the time,Often,All of the time,Often,Often,Often,Often,Often,Often,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,3,108,56,81
265,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Fair,25-30,Somewhat agree,A little agree,A little disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,A little agree,Somewhat agree,Somewhat agree,A little disagree,Neither agree nor disagree,A little agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Rarely,Rarely,Rarely,Rarely,Some of the time,Often,Some of the time,Some of the time,Rarely,Strongly agree,Mildly agree,Very strongly disagree,Very strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,4,88,36,68
266,18-33,Female,Female,"Caribbean, Caribbean Scottish or Caribbean British",Undergraduate Degree,Excellent,None,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,A little disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A little agree,Somewhat agree,Strongly agree,Strongly agree,All of the time,Rarely,Often,All of the time,Often,Often,Often,Often,Often,Often,All of the time,All of the time,Some of the time,Often,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly agree,Mildly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Very strongly agree,1,114,57,79
267,18-33,Female,Female,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Good,05-Oct,Somewhat agree,Somewhat agree,Somewhat agree,A little disagree,A little disagree,A little disagree,A little disagree,A little agree,Somewhat agree,A little agree,Strongly agree,Strongly agree,Strongly agree,A little disagree,A little disagree,Strongly disagree,A little agree,Somewhat agree,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Some of the time,Mildly agree,Mildly agree,Very strongly agree,Very strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Neutral,Very strongly agree,3,101,48,69
268,18-33,Female,,"African, African Scottish or African British","Postgraduate Qualification, Masters",Good,05-Oct,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,A little disagree,Somewhat agree,A little agree,A little agree,A little disagree,Somewhat agree,Strongly agree,Somewhat agree,A little agree,Strongly disagree,A little disagree,Strongly agree,A little agree,Some of the time,Some of the time,None of the time,Often,Rarely,Rarely,Some of the time,Rarely,Often,Some of the time,Often,Some of the time,None of the time,Rarely,Strongly agree,Strongly agree,Mildly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Mildly agree,3,81,37,58
269,18-33,Female,,"Chinese, Chinese Scottish or Chinese British",Undergraduate Degree,Good,0-5,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,A little agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Some of the time,Some of the time,Rarely,Some of the time,None of the time,Some of the time,Often,Some of the time,Some of the time,Often,All of the time,Often,Rarely,Rarely,Strongly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Very strongly agree,Neutral,Strongly disagree,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,3,110,42,67
270,34-48,Female,,Other white ethnic group,Undergraduate Degree,Poor,25-30,A little agree,A little agree,Neither agree nor disagree,A little agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,A little agree,A little agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,A little disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Often,Often,Some of the time,Often,None of the time,Often,Often,Often,Some of the time,Often,Often,Rarely,Often,Some of the time,Mildly agree,Mildly agree,Mildly disagree,Strongly disagree,Mildly agree,Mildly agree,Mildly agree,Strongly disagree,Mildly agree,Strongly agree,Very strongly disagree,Very strongly disagree,5,97,48,45
271,18-33,Female,Non-binary / third gender,"Indian, Indian Scottish or Indian British",Undergraduate Degree,Good,05-Oct,Somewhat agree,Strongly agree,Neither agree nor disagree,A little agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Often,Often,Rarely,Often,Rarely,Often,Some of the time,Often,Often,Often,Often,All of the time,Some of the time,Some of the time,Very strongly agree,Very strongly agree,Very strongly agree,Mildly agree,Very strongly agree,Very strongly agree,Strongly agree,Neutral,Strongly agree,Very strongly agree,Strongly agree,Strongly agree,3,108,50,75
272,18-33,Male,Male,"Chinese, Chinese Scottish or Chinese British","Postgraduate Qualification, Masters",Fair,0-5,Somewhat agree,A little agree,Strongly agree,A little agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,A little agree,Somewhat agree,A little agree,Strongly agree,Somewhat agree,A little agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Often,Often,Some of the time,Often,Rarely,Often,All of the time,Often,Some of the time,Some of the time,All of the time,Some of the time,Often,Some of the time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4,104,51,72
273,18-33,Female,Female,"African, African Scottish or African British","Postgraduate Qualification, Masters",Very Good,0-5,Somewhat agree,Somewhat agree,Strongly agree,A little disagree,A little disagree,A little disagree,Somewhat disagree,Somewhat agree,A little agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,A little disagree,Somewhat agree,Somewhat agree,Some of the time,Often,Rarely,Rarely,None of the time,Some of the time,Rarely,Rarely,Rarely,Rarely,Often,Some of the time,Rarely,Some of the time,Strongly agree,Very strongly agree,Very strongly agree,Very strongly agree,Strongly disagree,Very strongly agree,Very strongly agree,Strongly agree,Strongly agree,Very strongly disagree,Very strongly agree,Strongly agree,2,108,35,69
274,18-33,Female,Non-binary / third gender,Mixed or Multiple Ethnic Groups,Undergraduate Degree,Fair,20-25,Somewhat disagree,Somewhat disagree,Somewhat disagree,A little agree,Neither agree nor disagree,A little disagree,Neither agree nor disagree,A little agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,A little agree,Strongly agree,Rarely,Rarely,Rarely,Rarely,Rarely,None of the time,Some of the time,Rarely,Some of the time,None of the time,Some of the time,Rarely,Rarely,Rarely,Strongly agree,Strongly agree,Strongly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Neutral,Strongly agree,Very strongly agree,Strongly disagree,Very strongly agree,4,83,29,58
